step,loss,learning_rate,examples_seen,group_examples
269,0.1393558797757919,2.172932476370926e-07,68864,256
270,0.13362117396922457,2.1532421028448837e-07,69120,256
271,0.13353830636478392,2.134731890299962e-07,69376,256
272,0.13069799897200784,2.11740430800579e-07,69632,256
273,0.12113219405070907,2.101261667468655e-07,69888,256
274,0.08169150307559381,2.0863061221231543e-07,70144,256
275,0.08150879498928454,2.072539667044913e-07,70400,256
276,0.040703506510425314,2.0599641386844502e-07,70656,256
277,0.10086261246617845,2.0485812146221943e-07,70912,256
278,0.10624981690358482,2.0383924133446888e-07,71168,256
279,0.12921558581468418,2.0293990940420301e-07,71424,256
280,0.12623210059074808,2.0216024564265477e-07,71680,256
281,0.08542535724881972,2.0150035405727633e-07,71936,256
282,0.11656417238012295,2.0096032267786485e-07,72192,256
283,0.14434094817697218,2.005402235448183e-07,72448,256
284,0.1050661049637398,2.0024011269952648e-07,72704,256
285,0.0826880433564332,2.0006003017689387e-07,72960,256
286,0.1301794968545437,2e-07,73000,40
